source_sha256	source_line	id	register	disposition	row_sha256	path
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	112	IOS-PERF-001	yes	closed-decision	2ddf2d4ae21e255ed367640d4672639b61d2f2095d34bd7c12e5c68c3df286a2	Companion/Process/Current/KnownIssues/ios-perf-001.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	113	IOS-BUILD-001	yes	history	8db8ebbf30dccadc7678a9332437010a4cacba801aaaacaffbd2194a7ce44b38	Companion/Process/Current/KnownIssues/ios-build-001.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	153	IOS-SEARCH-001	yes	attribution-first	a59f1f58dc1814d60580872e8a5e85b15bfa9d304668cc9be1922d92037285fb	Companion/Process/Current/KnownIssues/ios-search-001.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	154	IOS-SEARCH-003	yes	attribution-first	8c5890477ecc05adad7fe2bbfb5981b823c0edb2847b222b52dc2b8756c193a5	Companion/Process/Current/KnownIssues/ios-search-003.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	155	IOS-QUEUE-001	yes	attribution-first	a8a805e57c1af5d07673c3073ae65955e9758aa7087e172ab1246a8a59099d21	Companion/Process/Current/KnownIssues/ios-queue-001.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	156	IOS-OUTBOX-003	yes	closed-decision	9ec0e89366c239ae03844fac7b02c660ab30c394acb279594c825ef6aa2da91d	Companion/Process/Current/KnownIssues/ios-outbox-003.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	157	IOS-QUEUE-003	yes	decomposed	4288eebefb8aded5bc77484295156fbd58c2ba504858d01157f64ee3b15a9d7c	Companion/Process/Current/KnownIssues/ios-queue-003.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	190	IOS-NSE-001	yes	attribution-first	4ba087db5d94ef3526b41877c0ac40d68550ecbf6ebf0126ef212154682fb25e	Companion/Process/Current/KnownIssues/ios-nse-001.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	191	IOS-NSE-002	yes	closed-decision	6d7ae63428150f45aa855a71de5dab72fa2bcb6a89a09f894a6a2d59c315c072	Companion/Process/Current/KnownIssues/ios-nse-002.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	192	IOS-QUEUE-002	yes	attribution-first	9f1a23c6b29bfb09ccba9ad09bfd0cb974417188a01d8e7fb301e8914a396fff	Companion/Process/Current/KnownIssues/ios-queue-002.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	216	IOS-NSE-003	yes	attribution-first	5d62fbea14bbf2a000d0e47edf34ad72eafe0a549c847fdc7e06f63b6418a6e3	Companion/Process/Current/KnownIssues/ios-nse-003.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	217	IOS-DRAFT-009	yes	closed-decision	9f0abfaabadb1a40252532abe046537cfa50540c98aed8207922dd3309cab389	Companion/Process/Current/KnownIssues/ios-draft-009.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	218	IOS-TEST-002	yes	attribution-first	75cab3f27c9859d9deb7bb7704b1950922c84f775c5cfa3a66d32692d46e7e9b	Companion/Process/Current/KnownIssues/ios-test-002.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	230	IOS-AI-001	yes	closed-decision	82f1df06ba46690dead5fa4f1a39aa39e1fe26b9d3384b09848f7951ed48e4a8	Companion/Process/Current/KnownIssues/ios-ai-001.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	231	IOS-AI-002	yes	attribution-first	c3ff75f1ec3d7b28a0b957efc2efdfd0fd2b8640800ed9d71735e9b345c48cc9	Companion/Process/Current/KnownIssues/ios-ai-002.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	232	IOS-ROUND3-D3	yes	closed-decision	efc66a2f7e612f93d442e033b70501927129539b49befe8e1b7fe66615b976f5	Companion/Process/Current/KnownIssues/ios-round3-d3.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	233	IOS-ROUND3-D5	yes	attribution-first	f2a0b351a741bfa66cd9b278676f70e394b2e1d93a5635d753984099816e00b1	Companion/Process/Current/KnownIssues/ios-round3-d5.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	234	IOS-ROUND3-D6	yes	attribution-first	065d32c5fd009c922344dfa8456692c9805707c62cb4f04cba1887ea301bf9cc	Companion/Process/Current/KnownIssues/ios-round3-d6.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	269	IOS-OUTBOX-004	yes	attribution-first	55678ee996b604ec7d37f1993f2c9b406cd834f36ed79b861b77f0306804d89c	Companion/Process/Current/KnownIssues/ios-outbox-004.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	270	IOS-TEST-003	yes	attribution-first	65d4adcf52972a3662e8a5e9a7ed0d3a160fdf4a54d57ae8d19a4ddc747b3347	Companion/Process/Current/KnownIssues/ios-test-003.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	271	IOS-DRAFT-010	yes	attribution-first	b6bc45cff99de0d1d0ac79ec5b4839de49a5360cfc654ff78a44d8f0bc996778	Companion/Process/Current/KnownIssues/ios-draft-010.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	272	IOS-QUEUE-004	yes	attribution-first	4980edf8272d50fe1e1ad415350e84adc080131460fa4a819200c5c643c2efac	Companion/Process/Current/KnownIssues/ios-queue-004.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	273	IOS-IMAP-006	yes	closed-decision	a9f2aee99ff109ecaf6f9d97a0f5ecd9d6fb8e76bfe660f231852c2f2cbbcd92	Companion/Process/Current/KnownIssues/ios-imap-006.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	285	IOS-IMAP-007	yes	closed-decision	a7cf42e6fb18d75bf0a8d70afc7b9fda62fc48f64a55c72f7466747dd3265dc3	Companion/Process/Current/KnownIssues/ios-imap-007.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	312	IOS-UNDO-002	yes	attribution-first	698a6dc239228af3015115be7ee59d7611aee37a4e6d650a0ef913b789d9d5eb	Companion/Process/Current/KnownIssues/ios-undo-002.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	313	IOS-SEARCH-002	yes	attribution-first	9ef557ad1e2768a70d1057c986105f2314e8fe94428268f5a9541f8efbeba659	Companion/Process/Current/KnownIssues/ios-search-002.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	314	IOS-QUEUE-005	yes	attribution-first	23fa1474d8fca703dfbf0c6ddf4c5eefb3fdd398348f632bdbc375f39f3be603	Companion/Process/Current/KnownIssues/ios-queue-005.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	315	IOS-LABEL-002	yes	attribution-first	94cd3fbf580336a5401b50d5774cb1936a4717f351ceceea5fc768d011173cca	Companion/Process/Current/KnownIssues/ios-label-002.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	316	IOS-MIGRATION-001	yes	not-defect	45952ccfc85447f582280543f791e44595159d841aa71fbc85114294e75d61e9	Companion/Process/Current/KnownIssues/ios-migration-001.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	317	IOS-BACKFILL-002	yes	attribution-first	d04a92d7a33faf0c7a9eaa1cf9268a0a73f8bfbc2e8067a9c0de8ecc78e031e1	Companion/Process/Current/KnownIssues/ios-backfill-002.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	343	IOS-AI-003	yes	attribution-first	40d713121ffe7978338e8fc5d057a4808c46dd23795f9cb742948f19a105482b	Companion/Process/Current/KnownIssues/ios-ai-003.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	344	IOS-DRAFT-011	yes	closed-decision	862a92c9af250fd6a7cfbeb6ef3063329090873dd3ac4a2200a65fb96b75c1d3	Companion/Process/Current/KnownIssues/ios-draft-011.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	345	IOS-TEST-005	yes	attribution-first	fbaf5030189f044062b62b4a2994a592723fa76f4c6c3e700608cb078fd01dfd	Companion/Process/Current/KnownIssues/ios-test-005.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	408	IOS-OUTBOX-005	yes	attribution-first	bb9db239baad36f2f133acc96d4ff7ddbd21e1b1f04f0925697f7df739e411ea	Companion/Process/Current/KnownIssues/ios-outbox-005.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	440	IOS-TEST-006	yes	fixed	16e82bcb42e1c3f7dfe1a0bb15b6e421d113bfeb5d6e90a1d3ad80beaa366695	Companion/Process/Current/KnownIssues/ios-test-006.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	441	IOS-TEST-007	yes	closed-decision	d281990a814bd44b50990faf45ba9174336c2f10f641a346c82a1c48cf625a41	Companion/Process/Current/KnownIssues/ios-test-007.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	442	IOS-TEST-008	yes	fixed	f071e3aa503052b7259e62a7ee6e6a983e111908d8a168716ba4cbd7fb8e2054	Companion/Process/Current/KnownIssues/ios-test-008.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	443	IOS-TEST-009	yes	fixed	3aea933237c8278fbdcd521d2cda66caef249c8fc28340257bd03c04ac5c05f0	Companion/Process/Current/KnownIssues/ios-test-009.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	444	IOS-DOC-001	yes	closed-decision	193330da19ecd82c7fd95bb7286f4eae50d880ad5cbdaac1361b0d588be6be10	Companion/Process/Current/KnownIssues/ios-doc-001.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	457	IOS-TEST-004	yes	attribution-first	ccd22944b81a6c835d0bc4f4cab72fa9bea0fa03f4f7e7eb3f64abd1b8404cea	Companion/Process/Current/KnownIssues/ios-test-004.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	475	IOS-LABEL-001	yes	attribution-first	fff11f52e74ecaa33328759c4d45824e18ec7d44105089713a4bd1bebff7f306	Companion/Process/Current/KnownIssues/ios-label-001.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	486	IOS-IMAP-002	no	fixed-by-d4	afb143cf39c35fc7bf645b57bd6c827d893f09ef03ed300790cc6b3520c1c6f0	Companion/Process/Current/KnownIssues/ios-imap-002.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	487	IOS-IMAP-004	no	fixed-by-d4	a4fc75b19d93a6c817de6ec836d45b8a6c894ae1b830c21eb9a01fd3435c5e7a	Companion/Process/Current/KnownIssues/ios-imap-004.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	526	IOS-OUTBOX-006	yes	attribution-first	33407a49e328dcf17ff3de43a272afbebf0b93ffe285a53d759389c955b0b0f1	Companion/Process/Current/KnownIssues/ios-outbox-006.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	563	IOS-IDENTITY-001	yes	closed-decision	c000f202f7f0892ef75617041874eadda932cf8139d4c261c6af53435c34fe6c	Companion/Process/Current/KnownIssues/ios-identity-001.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	564	IOS-NOTIFY-001	yes	closed-decision	4a241e828655fcaeb85a8f6072e2ec55e9b1b50223c5c728528b939d7606a0e2	Companion/Process/Current/KnownIssues/ios-notify-001.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	583	IOS-SCROLL-001	yes	closed-decision	4d5287892bed4fe4092017ee37fda27baf1bc32d9c101ab9f1e1d62c5739fce1	Companion/Process/Current/KnownIssues/ios-scroll-001.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	584	IOS-BACKFILL-001	yes	fixed	404c986b24f26c894a142fac925f290e235f41db04fdd1627f1d3ff0b9f8a61b	Companion/Process/Current/KnownIssues/ios-backfill-001.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	585	IOS-SCROLL-002	yes	closed-decision	9a490de437b2638b0136bdb967dc61543927d2542e0b417a9dedd38d858bcff1	Companion/Process/Current/KnownIssues/ios-scroll-002.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	586	IOS-THREAD-001	yes	closed-decision	b750134ce36bc07bb56672deb22df0d6cf853d17f285026760171f44f39c9473	Companion/Process/Current/KnownIssues/ios-thread-001.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	617	IOS-QUEUE-006	yes	closed-decision	88ec1985d838ced506dfafe02e012b52e9a7e87f2b1aa311adf1a1a818d49f10	Companion/Process/Current/KnownIssues/ios-queue-006.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	618	IOS-QUEUE-007	yes	closed-decision	d97af401b5d418538224d3809df16a33593d448a5227b659ceda950904cfa226	Companion/Process/Current/KnownIssues/ios-queue-007.md
513497704ad37e977e2fb86e4623e956e6f1ca99844122948ff74995dfa9a309	619	IOS-QUEUE-008	yes	closed-decision	d6c9f057261cc63150ec678e0651a0df6255565ea4ea8b2532c42a7d03b642ef	Companion/Process/Current/KnownIssues/ios-queue-008.md
